Šifra NKS;Puno ime NKS;Naziv NKS
J.4.1.2.;J.4.1.2. Industrijska područja s manjim udjelom zelenih površina (skladišta, slobodne carinske zone);Industrijska područja s manjim udjelom zelenih površina (skladišta, slobodne carinske zone)
J.4.1.3.;J.4.1.3. Industrijska područja sa značajnim udjelom intenzivno njegovanih zelenih površina;Industrijska područja sa značajnim udjelom intenzivno njegovanih zelenih površina
J.4.1.4.;J.4.1.4. Industrijska područja sa značajnim udjelom ekstenzivno njegovanih zelenih površina;Industrijska područja sa značajnim udjelom ekstenzivno njegovanih zelenih površina
J.4.1.5.;J.4.1.5. Napuštena industrijska postrojenja i pogoni;Napuštena industrijska postrojenja i pogoni
J.4.2.;J.4.2. Odlagališta krutih tvari;Odlagališta krutih tvari
J.4.2.1.;J.4.2.1. Uređena odlagališta krutog otpada;Uređena odlagališta krutog otpada
J.4.2.1.1.;J.4.2.1.1. Odlagališta komunalnog otpada;Odlagališta komunalnog otpada
J.4.2.1.2.;J.4.2.1.2. Odlagališta industrijskog otpada;Odlagališta industrijskog otpada
J.4.2.1.3.;J.4.2.1.3. Odlagališta građevinskog otpada;Odlagališta građevinskog otpada
J.4.2.1.4.;J.4.2.1.4. Odlagališta metalnog otpada (autootpad i sl.);Odlagališta metalnog otpada (autootpad i sl.)
J.4.2.1.5.;J.4.2.1.5. Odlagališta ostataka rudarske proizvodnje;Odlagališta ostataka rudarske proizvodnje
J.4.2.1.6.;J.4.2.1.6. Reciklažna dvorišta;Reciklažna dvorišta
J.4.2.1.7.;J.4.2.1.7. Gnojišta;Gnojišta
J.4.2.1.8.;J.4.2.1.8. Kompostišta;Kompostišta
J.4.2.1.9.;J.4.2.1.9. Odlagališta piljevine i sitnog drvnog otpada;Odlagališta piljevine i sitnog drvnog otpada
J.4.2.1.10.;J.4.2.1.10. Odlagališta organskog nepoljoprivrednog otpada;Odlagališta organskog nepoljoprivrednog otpada
J.4.2.1.11.;J.4.2.1.11. Odlagališta nereciklažnog poljoprivrednog i hortikulturnog otpada biljnog podrijetla;Odlagališta nereciklažnog poljoprivrednog i hortikulturnog otpada biljnog podrijetla
