Šifra NKS;Puno ime NKS;Naziv NKS
E.3.1.2.;E.3.1.2. Šuma hrasta lužnjaka i običnog graba (subasocijacija s bukvom);Šuma hrasta lužnjaka i običnog graba (subasocijacija s bukvom)
E.3.1.3.;E.3.1.3. Šuma hrasta lužnjaka i običnog graba (subasocijacija s cerom);Šuma hrasta lužnjaka i običnog graba (subasocijacija s cerom)
E.3.1.4.;E.3.1.4. Šuma hrasta lužnjaka i običnog graba (subasocijacija sa srebrnolisnom lipom);Šuma hrasta lužnjaka i običnog graba (subasocijacija sa srebrnolisnom lipom)
E.3.1.5.;E.3.1.5. Šuma hrasta kitnjaka i običnog graba;Šuma hrasta kitnjaka i običnog graba
E.3.1.6.;E.3.1.6. Šuma hrasta kitnjaka i običnog graba s vlasuljom;Šuma hrasta kitnjaka i običnog graba s vlasuljom
E.3.1.7.;E.3.1.7. Šuma običnog graba s dlakavim šašem;Šuma običnog graba s dlakavim šašem
E.3.1.8.;E.3.1.8. Šuma običnog graba sa šumaricom;Šuma običnog graba sa šumaricom
E.3.2.;E.3.2. Srednjoeuropske acidofilne šume hrasta kitnjaka, te obične breze;Srednjoeuropske acidofilne šume hrasta kitnjaka, te obične breze
E.3.2.1.;E.3.2.1. Mješovita šuma hrasta kitnjaka i pitomog kestena;Mješovita šuma hrasta kitnjaka i pitomog kestena
E.3.2.2.;E.3.2.2. Šuma hrasta kitnjaka s bekicama;Šuma hrasta kitnjaka s bekicama
E.3.2.3.;E.3.2.3. Šuma hrasta kitnjaka s grozdastom runjikom;Šuma hrasta kitnjaka s grozdastom runjikom
E.3.2.4.;E.3.2.4. Šuma hrasta kitnjaka s brdskom vlasuljom;Šuma hrasta kitnjaka s brdskom vlasuljom
E.3.2.5.;E.3.2.5. Mješovita šuma hrasta kitnjaka i obične breze;Mješovita šuma hrasta kitnjaka i obične breze
E.3.2.6.;E.3.2.6. Šuma breze s bujadi;Šuma breze s bujadi
E;E Cretne brezove šumice na sfagnumskom cretu;Cretne brezove šumice na sfagnumskom cretu
E.3.3.;E.3.3. Mezijske šume hrasta sladuna;Mezijske šume hrasta sladuna
E.3.3.1.;E.3.3.1. Šuma sladuna i cera;Šuma sladuna i cera
E.3.4.;E.3.4. Srednjoeuropske termofilne hrastove šume;Srednjoeuropske termofilne hrastove šume
E.3.4.1.;E.3.4.1. Termofilna šuma hrasta kitnjaka s crnim grahorom;Termofilna šuma hrasta kitnjaka s crnim grahorom
E.3.4.2.;E.3.4.2. Šuma hrasta kitnjaka s jesenskom šašikom;Šuma hrasta kitnjaka s jesenskom šašikom
E.3.4.3.;E.3.4.3. Termofilna šuma medunca i modrog vrabsjemena;Termofilna šuma medunca i modrog vrabsjemena
E.3.4.4.;E.3.4.4. Termofilna šuma medunca s trstolikom beskoljenkom;Termofilna šuma medunca s trstolikom beskoljenkom
E.3.4.5.;E.3.4.5. Termofilna i slabo acidofilna šuma medunca s bijelom petoprstom;Termofilna i slabo acidofilna šuma medunca s bijelom petoprstom
E.3.4.6.;E.3.4.6. Šuma cera i crnog jasena;Šuma cera i crnog jasena
E.3.4.7.;E.3.4.7. Šuma hrasta medunca i crnog jasena;Šuma hrasta medunca i crnog jasena
E.3.5.;E.3.5. Primorske, termofilne šume i šikare medunca;Primorske, termofilne šume i šikare medunca
E.3.5.1.;E.3.5.1. Šuma i šikara medunca i bjelograba;Šuma i šikara medunca i bjelograba
E.3.5.2.;"E.3.5.2. Mješovita šuma i šikara medunca ""duba"" i bjelograba";"Mješovita šuma i šikara medunca ""duba"" i bjelograba"
E.3.5.3.;E.3.5.3. Mješovita šuma i šikara medunca i crnoga graba;Mješovita šuma i šikara medunca i crnoga graba
E.3.5.4.;"E.3.5.4. Mješovita šuma medunca ""duba"" i crnoga graba";"Mješovita šuma medunca ""duba"" i crnoga graba"
E.3.5.5.;"E.3.5.5. Mješovita šuma medunca ""duba"" i crnoga jasena";"Mješovita šuma medunca ""duba"" i crnoga jasena"
E.3.5.6.;E.3.5.6. Šuma i šikara crnoga graba s jesenskom šašikom;Šuma i šikara crnoga graba s jesenskom šašikom
E.3.5.7.;E.3.5.7. Šikara bjelograba s proljetnom broćikom;Šikara bjelograba s proljetnom broćikom
E.3.5.8.;E.3.5.8. Šikara zelenike i bjelograba;Šikara zelenike i bjelograba
E.3.5.9.;E.3.5.9. Mješovita šuma crnoga bora i crnog graba;Mješovita šuma crnoga bora i crnog graba
E.4.;E.4. Brdske bukove šume;Brdske bukove šume
E.4.1.;E.4.1. Srednjoeuropske neutrofilne do slaboacidofilne, mezofilne bukove šume;Srednjoeuropske neutrofilne do slaboacidofilne, mezofilne bukove šume
E.4.1.1.;E.4.1.1. Šuma bukve s lazarkinjom;Šuma bukve s lazarkinjom
E.4.1.2.;E.4.1.2. Šuma bukve s dlakavim šašem;Šuma bukve s dlakavim šašem
E.4.1.3.;E.4.1.3. Šuma bukve s bijelim šašem;Šuma bukve s bijelim šašem
E.4.2.;E.4.2. Srednjoeuropske, acidofilne bukove šume;Srednjoeuropske, acidofilne bukove šume
E.4.2.1.;E.4.2.1. Šuma bukve s bjelkastom bekicom;Šuma bukve s bjelkastom bekicom
E.4.2.2.;E.4.2.2. Šuma bukve s rebračom;Šuma bukve s rebračom
E.4.3.;E.4.3. Mezofilne bukove šume predalpskog prostora;Mezofilne bukove šume predalpskog prostora
E.4.3.1.;E.4.3.1. Šuma bukve s volujskim okom;Šuma bukve s volujskim okom
E.4.3.2.;E.4.3.2. Šuma bukve i širokolisne grašolike;Šuma bukve i širokolisne grašolike
E.4.4.;E.4.4. Šume bukve i plemenitih listača uvala i klanaca;Šume bukve i plemenitih listača uvala i klanaca
E.4.4.1.;E.4.4.1. Mješovita šuma bukve i gorskog javora;Mješovita šuma bukve i gorskog javora
E.4.4.2.;E.4.4.2. Šuma gorskog javora i mjesečarke;Šuma gorskog javora i mjesečarke
E.4.4.3.;E.4.4.3. Mješovita šuma tise i lipe;Mješovita šuma tise i lipe
E.4.5.;E.4.5. Mezofilne i neutrofilne čiste bukove šume;Mezofilne i neutrofilne čiste bukove šume
E.4.5.1.;E.4.5.1. Šuma bukve s velikom mrtvom koprivom;Šuma bukve s velikom mrtvom koprivom
E.4.6.;E.4.6. Jugoistočnoalpsko-ilirske, termofilne bukove šume;Jugoistočnoalpsko-ilirske, termofilne bukove šume
E.4.6.1.;E.4.6.1. Šuma bukve i crnoga graba;Šuma bukve i crnoga graba
E.4.6.2.;E.4.6.2. Šuma bukve s risjem;Šuma bukve s risjem
E.4.6.3.;E.4.6.3. Primorska bukova šuma s jesenskom šašikom;Primorska bukova šuma s jesenskom šašikom
E.4.6.4.;E.4.6.4. Šuma bukve sa širokolisnim gladcem;Šuma bukve sa širokolisnim gladcem
E.5.;E.5. Bukovo-jelove šume;Bukovo-jelove šume
E.5.1.;E.5.1. Panonske bukovo-jelove šume;Panonske bukovo-jelove šume
E.5.1.1.;E.5.1.1. Panonska bukovo-jelova šuma;Panonska bukovo-jelova šuma
E.5.2.;E.5.2. Dinarske bukovo-jelove šume;Dinarske bukovo-jelove šume
E.5.2.1.;E.5.2.1. Dinarska bukovo-jelova šuma;Dinarska bukovo-jelova šuma
E.5.3.;E.5.3. Termofilne šume jele i crnoga graba;Termofilne šume jele i crnoga graba
E.5.3.1.;E.5.3.1. Termofilna šuma jele i crnoga graba;Termofilna šuma jele i crnoga graba
E.6.;E.6. Pretplaninske bukove šume;Pretplaninske bukove šume
E.6.1.;E.6.1. Pretplaninske bukove šume;Pretplaninske bukove šume
E.6.1.1.;E.6.1.1. Pretplaninska šuma bukve s planinskim žabnjakom;Pretplaninska šuma bukve s planinskim žabnjakom
E.6.1.2.;E.6.1.2. Pretplaninska šuma bukve i gorskog javora;Pretplaninska šuma bukve i gorskog javora
E.6.1.3.;E.6.1.3. Pretplaninska šuma bukve s planinskim divokozjakom;Pretplaninska šuma bukve s planinskim divokozjakom
E.7.;E.7. Kontinentalne crnogorične šume;Kontinentalne crnogorične šume
E.7.1.;E.7.1. Kalcifilne jelove šume;Kalcifilne jelove šume
E.7.1.1.;E.7.1.1. Dinarska šuma jele na vapnenačkim blokovima;Dinarska šuma jele na vapnenačkim blokovima
E.7.1.2.;E.7.1.2. Šuma jele sa žestikom na blokovima;Šuma jele sa žestikom na blokovima
E.7.2.;E.7.2. Acidofilne jelove šume;Acidofilne jelove šume
E.7.2.1.;E.7.2.1. Šuma jele s rebračom;Šuma jele s rebračom
E.7.2.2.;E.7.2.2. Močvarna šuma jele s blijedožućkastim šašem;Močvarna šuma jele s blijedožućkastim šašem
E.7.3.;E.7.3. Smrekove šume;Smrekove šume
E.7.3.1.;E.7.3.1. Gorska šuma smreke sa šumskim pavlovcem;Gorska šuma smreke sa šumskim pavlovcem
E.7.3.2.;E.7.3.2. Pretplaninska šuma smreke s čopocem;Pretplaninska šuma smreke s čopocem
E.7.3.3.;E.7.3.3. Pretplaninska šuma smreke s ljepikom;Pretplaninska šuma smreke s ljepikom
E.7.3.4.;E.7.3.4. Pretplaninska šuma smreke s alpskom pavitinom;Pretplaninska šuma smreke s alpskom pavitinom
E.7.3.5.;E.7.3.5. Šuma smreke s bijelim šašem na dolomitu;Šuma smreke s bijelim šašem na dolomitu
E.7.4.;E.7.4. Šume običnog i crnog bora na dolomitima;Šume običnog i crnog bora na dolomitima
E.7.4.1.;E.7.4.1. Šuma običnog bora s kukurijekom na dolomitima;Šuma običnog bora s kukurijekom na dolomitima
E.7.4.2.;E.7.4.2. Šuma crnoga graba s risjem;Šuma crnoga graba s risjem
E.7.4.3.;E.7.4.3. Šuma crnoga graba s omelikom;Šuma crnoga graba s omelikom
E.7.4.4.;E.7.4.4. Šuma crnoga bora i pustenaste dunjarice;Šuma crnoga bora i pustenaste dunjarice
E.7.4.5.;E.7.4.5. Šuma crnog bora s trocvjetnom mlječikom na dolomitima;Šuma crnog bora s trocvjetnom mlječikom na dolomitima
E.7.4.6.;E.7.4.6. Šuma dalmatinskog crnog bora s primorskom resikom na dolomitima;Šuma dalmatinskog crnog bora s primorskom resikom na dolomitima
E.8.;E.8. Primorske vazdazelene šume i makije;Primorske vazdazelene šume i makije
E.8.1.;E.8.1. Mješovite, rjeđe čiste vazdazelene šume i makija crnike ili oštrike;Mješovite, rjeđe čiste vazdazelene šume i makija crnike ili oštrike
E.8.1.1.;E.8.1.1. Mješovita šuma i makija crnike s crnim jasenom;Mješovita šuma i makija crnike s crnim jasenom
E.8.1.2.;"E.8.1.2. Mješovita šuma crnike i medunca ""duba""";"Mješovita šuma crnike i medunca ""duba"""
E.8.1.3.;E.8.1.3. Čista, vazdezelena šuma i makija crnike s mirtom;Čista, vazdezelena šuma i makija crnike s mirtom
E.8.1.4.;E.8.1.4. Šuma i makija tršlje i vazdazelene krkavine;Šuma i makija tršlje i vazdazelene krkavine
E.8.1.5.;E.8.1.5. Mješovita šuma i makija oštrike i crnoga jasena;Mješovita šuma i makija oštrike i crnoga jasena
E.8.1.6.;E.8.1.6. Mješovita šuma i makija crnike s crnim grabom;Mješovita šuma i makija crnike s crnim grabom
E.8.1.7.;E.8.1.7. Šuma dalmatinskog crnog bora i crnike;Šuma dalmatinskog crnog bora i crnike
E.8.2.;E.8.2. Stenomediteranske čiste vazdazelene šume i makija crnike;Stenomediteranske čiste vazdazelene šume i makija crnike
E.8.2.1.;E.8.2.1. Makija divlje masline i tršlje;Makija divlje masline i tršlje
E.8.2.2.;E.8.2.2. Makija divlje masline i drvenaste mlječike;Makija divlje masline i drvenaste mlječike
E.8.2.3.;E.8.2.3. Makija tršlje i somine;Makija tršlje i somine
E.8.2.4.;E.8.2.4. Makija divlje masline i somine;Makija divlje masline i somine
E.8.2.5.;E.8.2.5. Makija velike resike i planike;Makija velike resike i planike
E.8.2.6.;E.8.2.6. Makija velike resike i kapinike;Makija velike resike i kapinike
E.8.2.7.;E.8.2.7. Mješovita šuma alepskog bora i crnike;Mješovita šuma alepskog bora i crnike
E.8.2.8.;E.8.2.8. Šuma alepskog bora sa sominom;Šuma alepskog bora sa sominom
E.8.2.9.;E.8.2.9. Šuma alepskog bora s tršljom;Šuma alepskog bora s tršljom
E;E Šume i nasadi pinije (Pinus pinea) i primorskoga bora (Pinus pinaster);Šume i nasadi pinije (Pinus pinea) i primorskoga bora (Pinus pinaster)
E.9.;E.9. Antropogene šumske sastojine;Antropogene šumske sastojine
E.9.1.;E.9.1. Šume i šikare alohtonih vrsta drveća;Šume i šikare alohtonih vrsta drveća
E.9.1.1.;E.9.1.1. Sastojine bagrema;Sastojine bagrema
E.9.1.2.;E.9.1.2. Sastojine pajasena;Sastojine pajasena
E.9.1.3.;E.9.1.3. Sastojine negundovca;Sastojine negundovca
E.9.1.4.;E.9.1.4. Ostale sastojine alohtonih vrsta drveća;Ostale sastojine alohtonih vrsta drveća
E.9.2.;E.9.2. Nasadi četinjača;Nasadi četinjača
E.9.2.1.;E.9.2.1. Nasadi obične smreke;Nasadi obične smreke
E.9.2.2.;E.9.2.2. Nasadi crnog bora;Nasadi crnog bora
E.9.2.3.;E.9.2.3. Nasadi običnog bora;Nasadi običnog bora
E.9.2.4.;E.9.2.4. Nasadi alepskog bora;Nasadi alepskog bora
E.9.2.5.;E.9.2.5. Ostali čisti nasadi autohtonih četinjača;Ostali čisti nasadi autohtonih četinjača
E.9.2.6.;E.9.2.6. Miješani nasadi autohtonih četinjača;Miješani nasadi autohtonih četinjača
E.9.2.7.;E.9.2.7. Čisti nasadi alohtonih četinjača;Čisti nasadi alohtonih četinjača
E.9.2.8.;E.9.2.8. Miješani nasadi alohtonih četinjača;Miješani nasadi alohtonih četinjača
E.9.2.9.;E.9.2.9. Miješani nasadi autohtonih i alohtonih vrsta četinjača;Miješani nasadi autohtonih i alohtonih vrsta četinjača
E.9.3.;E.9.3. Nasadi širokolisnog drveća;Nasadi širokolisnog drveća
E.9.3.1.;E.9.3.1. Nasadi autohtonih topola;Nasadi autohtonih topola
E.9.3.2.;E.9.3.2. Nasadi autohtonih vrba;Nasadi autohtonih vrba
E.9.3.3.;E.9.3.3. Ostali čisti nasadi autohtonog širokolisnog drveća;Ostali čisti nasadi autohtonog širokolisnog drveća
E.9.3.4.;E.9.3.4. Miješani nasadi autohtonog širokolisnog drveća;Miješani nasadi autohtonog širokolisnog drveća
E.9.3.5.;E.9.3.5. Nasadi alohtonih topola;Nasadi alohtonih topola
E.9.3.6.;E.9.3.6. Nasadi alohtonih vrba;Nasadi alohtonih vrba
E.9.3.7.;E.9.3.7. Ostali čisti nasadi alohtonog širokolisnog drveća;Ostali čisti nasadi alohtonog širokolisnog drveća
E.9.3.8.;E.9.3.8. Miješani nasadi alohtonog širokolisnog drveća;Miješani nasadi alohtonog širokolisnog drveća
E.9.3.9.;E.9.3.9. Miješani nasadi autohtonih i alohtonih vrsta širokolisnog drveća;Miješani nasadi autohtonih i alohtonih vrsta širokolisnog drveća
E.9.4.;E.9.4. Mješoviti nasadi četinjača i širokolisnog drveća;Mješoviti nasadi četinjača i širokolisnog drveća
E.9.4.1.;E.9.4.1. Mješoviti nasadi četinjača i širokolisnog drveća s autohtonim vrstama;Mješoviti nasadi četinjača i širokolisnog drveća s autohtonim vrstama
E.9.4.2.;E.9.4.2. Mješoviti nasadi četinjača i širokolisnog drveća s alohtonim vrstama;Mješoviti nasadi četinjača i širokolisnog drveća s alohtonim vrstama
E.9.4.3.;E.9.4.3. Mješoviti nasadi četinjača i širokolisnog drveća s autohtonim i alohtonim vrstama;Mješoviti nasadi četinjača i širokolisnog drveća s autohtonim i alohtonim vrstama
E.9.5.;E.9.5. Šumski nasadi s prirodnom šumskom vegetacijom;Šumski nasadi s prirodnom šumskom vegetacijom
E.9.5.1.;E.9.5.1. Grupimični šumski nasadi u sklopu prirodne šumske vegetacije;Grupimični šumski nasadi u sklopu prirodne šumske vegetacije
E.9.5.2.;E.9.5.2. Stablimični šumski nasadi u sklopu prirodne šumske vegetacije;Stablimični šumski nasadi u sklopu prirodne šumske vegetacije
F.;F. Morska obala;Morska obala
F.1.;F.1. Muljevita morska obala;Muljevita morska obala
F.1.1.;F.1.1. Površine slanih, plitkih, muljevitih močvara pod halofitima;Površine slanih, plitkih, muljevitih močvara pod halofitima
F.1.1.1.;F.1.1.1. Slanjače caklenjača i sodnjača;Slanjače caklenjača i sodnjača
F.1.1.1.1.;F.1.1.1.1. Slanjača caklenjače;Slanjača caklenjače
F.1.1.1.2.;F.1.1.1.2. Slanjača sodnjače;Slanjača sodnjače
F.1.1.2.;F.1.1.2. Sredozemne sitine visokih sitova;Sredozemne sitine visokih sitova
F.1.1.2.1.;F.1.1.2.1. Europsko-mediteranske sitine visokih sitova;Europsko-mediteranske sitine visokih sitova
F.1.1.2.2.;F.1.1.2.2. Zajednica tamnog sitnika i primorskog trpuca;Zajednica tamnog sitnika i primorskog trpuca
F.1.1.2.3.;F.1.1.2.3. Zajednica valjkastog tankorepića i primorske pirike;Zajednica valjkastog tankorepića i primorske pirike
F.1.1.2.4.;F.1.1.2.4. Sitina tupocvjetnog sita i politovca;Sitina tupocvjetnog sita i politovca
F.1.1.3.;F.1.1.3. Sredozemne grmaste slanjače;Sredozemne grmaste slanjače
F.1.1.3.1.;F.1.1.3.1. Livade grmolike caklenjače i slanuške;Livade grmolike caklenjače i slanuške
F.1.1.3.2.;F.1.1.3.2. Zajednica jesenske mrižice i modrikastog pelina;Zajednica jesenske mrižice i modrikastog pelina
F.1.1.3.3.;F.1.1.3.3. Zajednica jesenske mrižice i dalmatinskog vražemila;Zajednica jesenske mrižice i dalmatinskog vražemila
F.1.2.;F.1.2. Supralitoralni muljevi;Supralitoralni muljevi
F.1.2.1.;F.1.2.1. Biocenoza plaža sa sporosušećim nakupinama ostataka morske vegetacije;Biocenoza plaža sa sporosušećim nakupinama ostataka morske vegetacije
F.1.2.1.1.;F.1.2.1.1. Biocenoza plaža sa sporosušećim nakupinama ostataka morske vegetacije;Biocenoza plaža sa sporosušećim nakupinama ostataka morske vegetacije
F.2.;F.2. Pjeskovita morska obala;Pjeskovita morska obala
F.2.1.;F.2.1. Površine pješčanih plaža pod halofitima;Površine pješčanih plaža pod halofitima
F.2.1.1.;F.2.1.1. Površine pješčanih plaža pod halofitima;Površine pješčanih plaža pod halofitima
F.2.1.1.1.;F.2.1.1.1. Travnjaci sitolisne pirike i ježike;Travnjaci sitolisne pirike i ježike
F.2.2.;F.2.2. Supralitoralni pijesci;Supralitoralni pijesci
F.2.2.1.;F.2.2.1. Biocenoza supralitoralnih pijesaka;Biocenoza supralitoralnih pijesaka
F.2.2.1.1.;F.2.2.1.1. Facijes pijesaka bez vegetacije;Facijes pijesaka bez vegetacije
F.2.2.1.2.;F.2.2.1.2. Facijes udubina s rezidualnom vlagom;Facijes udubina s rezidualnom vlagom
F.2.2.1.3.;F.2.2.1.3. Facijes brzosušećih nakupina ostataka morske vegetacije;Facijes brzosušećih nakupina ostataka morske vegetacije
F.2.2.1.4.;F.2.2.1.4. Facijes naplavljenih balvana;Facijes naplavljenih balvana
F.2.2.1.5.;F.2.2.1.5. Facijes naplavljenih ostataka morskih cvjetnica;Facijes naplavljenih ostataka morskih cvjetnica
F.3.;F.3. Šljunkovita morska obala;Šljunkovita morska obala
F.3.1.;F.3.1. Površine šljunčanih žalova pod halofitima;Površine šljunčanih žalova pod halofitima
F.3.1.1.;F.3.1.1. Površine šljunčanih žalova pod halofitima;Površine šljunčanih žalova pod halofitima
F.3.1.1.1.;F.3.1.1.1. Zajednica polegle mlječike i morske makovice;Zajednica polegle mlječike i morske makovice
F.3.2.;F.3.2. Supralitoralni šljunci i kamenje;Supralitoralni šljunci i kamenje
F.3.2.1.;F.3.2.1. Biocenoza sporosušećih nakupina ostataka morske vegetacije na šljuncima;Biocenoza sporosušećih nakupina ostataka morske vegetacije na šljuncima
F.3.2.1.1.;F.3.2.1.1. Biocenoza sporosušećih nakupina ostataka morske vegetacije;Biocenoza sporosušećih nakupina ostataka morske vegetacije
F.4.;F.4. Stjenovita morska obala;Stjenovita morska obala
F.4.1.;F.4.1. Površine stjenovitih obala pod halofitima;Površine stjenovitih obala pod halofitima
F.4.1.1.;F.4.1.1. Površine stjenovitih obala pod halofitima;Površine stjenovitih obala pod halofitima
F.4.1.1.1.;F.4.1.1.1. Grebenjača rešetkaste mrižice i grebenskog trpuca;Grebenjača rešetkaste mrižice i grebenskog trpuca
F.4.1.1.2.;F.4.1.1.2. Grebenjača savitljive mrižice;Grebenjača savitljive mrižice
F.4.1.1.3.;F.4.1.1.3. Grebenjača maljave mrižice i šćulca;Grebenjača maljave mrižice i šćulca
F.4.2.;F.4.2. Supralitoralne stijene;Supralitoralne stijene
F.4.2.1.;F.4.2.1. Biocenoza supralitoralnih stijena;Biocenoza supralitoralnih stijena
F.4.2.1.1.;F.4.2.1.1. Asocijacija s vrstama rodova Entophysalis i Verrucaria;Asocijacija s vrstama rodova Entophysalis i Verrucaria
F.4.2.1.2.;F.4.2.1.2. Lokvice s promjenjivom slanošću (mediolitoralna enklava);Lokvice s promjenjivom slanošću (mediolitoralna enklava)
F.4.2.1.3.;F.4.2.1.3. Facijes supralitorala kraških morskih jezera;Facijes supralitorala kraških morskih jezera
F.5.;F.5. Antropogena staništa morske obale;Antropogena staništa morske obale
F.5.1.;F.5.1. Antropogena staništa morske obale;Antropogena staništa morske obale
F.5.1.1.;F.5.1.1. Zajednice morske obale na pomičnoj podlozi pod utjecajem čovjeka (mulj, pijesak, šljunak);Zajednice morske obale na pomičnoj podlozi pod utjecajem čovjeka (mulj, pijesak, šljunak)
F.5.1.1.1.;F.5.1.1.1. Turističke plaže;Turističke plaže
F.5.1.2.;F.5.1.2. Zajednice morske obale na čvrstoj podlozi pod utjecajem čovjeka;Zajednice morske obale na čvrstoj podlozi pod utjecajem čovjeka
F.5.1.2.1.;F.5.1.2.1. Izgrađene i konstruirane obale;Izgrađene i konstruirane obale
G.;G. More;More
G.1.;G.1. Pelagijal;Pelagijal
G.1.1.;G.1.1. Pelagijske zajednice neritičke provincije;Pelagijske zajednice neritičke provincije
G.1.1.1.;G.1.1.1. Prirodne pelagijske zajednice neritičke provincije;Prirodne pelagijske zajednice neritičke provincije
G.1.1.1.1.;G.1.1.1.1. Prirodne pelagijske euhaline zajednice neritičke provincije;Prirodne pelagijske euhaline zajednice neritičke provincije
G.1.1.1.2.;G.1.1.1.2. Pelagijal estuarija;Pelagijal estuarija
G.1.1.2.;G.1.1.2. Pelagijske zajednice neritičke provincije pod antropogenim utjecajem;Pelagijske zajednice neritičke provincije pod antropogenim utjecajem
G.1.1.2.1.;G.1.1.2.1. Akvatoriji morskih luka;Akvatoriji morskih luka
G.1.1.2.2.;G.1.1.2.2. Akvatoriji brodogradilišta;Akvatoriji brodogradilišta
G.1.1.2.3.;G.1.1.2.3. Akvatoriji naseljenih mjesta uz obalu, lučica, mandrača;Akvatoriji naseljenih mjesta uz obalu, lučica, mandrača
G.1.1.2.4.;G.1.1.2.4. Akvatoriji marina;Akvatoriji marina
G.1.1.2.5.;G.1.1.2.5. Akvatoriji marikulturnih zahvata;Akvatoriji marikulturnih zahvata
G.1.1.2.6.;G.1.1.2.6. Akvatoriji oko podmorskih ispusta otpadne vode;Akvatoriji oko podmorskih ispusta otpadne vode
G.1.2.;G.1.2. Pelagijske zajednice oceanske provincije;Pelagijske zajednice oceanske provincije
G.1.2.1.;G.1.2.1. Pelagijske zajednice oceanske provincije;Pelagijske zajednice oceanske provincije
G.1.2.1.1.;G.1.2.1.1. Pelagijske zajednice oceanske provincije;Pelagijske zajednice oceanske provincije
G.1.3.;G.1.3. Neuston;Neuston
G.1.3.1.;G.1.3.1. Neuston;Neuston
G.1.3.1.1.;G.1.3.1.1. Neuston;Neuston
G.2.;G.2. Mediolitoral;Mediolitoral
G.2.1.;G.2.1. Mediolitoralni muljeviti pijesci i muljevi;Mediolitoralni muljeviti pijesci i muljevi
G.2.1.1.;G.2.1.1. Biocenoza mediolitoralnih muljevitih pijesaka i muljeva;Biocenoza mediolitoralnih muljevitih pijesaka i muljeva
G.2.2.;G.2.2. Mediolitoralni pijesci;Mediolitoralni pijesci
G.2.2.1.;G.2.2.1. Biocenoza mediolitoralnih pijesaka;Biocenoza mediolitoralnih pijesaka
G.2.2.1.1.;G.2.2.1.1. Facijes s vrstama roda Ophelia;Facijes s vrstama roda Ophelia
G.2.3.;G.2.3. Mediolitoralni šljunci i kamenje;Mediolitoralni šljunci i kamenje
G.2.3.1.;G.2.3.1. Biocenoza mediolitoralnih dna s krupnim detritusom;Biocenoza mediolitoralnih dna s krupnim detritusom
G.2.3.1.1.;G.2.3.1.1. Facijes s naslagama mrtvog lišća vrste Posidonia oceanica i drugih morskih cvjetnica;Facijes s naslagama mrtvog lišća vrste Posidonia oceanica i drugih morskih cvjetnica
G.2.4.;G.2.4. Mediolitoralno čvrsto dno i stijene;Mediolitoralno čvrsto dno i stijene
G.2.4.1.;G.2.4.1. Biocenoza gornjih stijena mediolitorala;Biocenoza gornjih stijena mediolitorala
G.2.4.1.1.;G.2.4.1.1. Asocijacija s vrstom Bangia atropurpurea ;Asocijacija s vrstom Bangia atropurpurea 
G.2.4.1.2.;G.2.4.1.2. Asocijacija s vrstom Porphyra leucosticta ;Asocijacija s vrstom Porphyra leucosticta 
G.2.4.2.;G.2.4.2. Biocenoza donjih stijena mediolitorala;Biocenoza donjih stijena mediolitorala
G.2.4.2.1.;G.2.4.2.1. Asocijacija s vrstom Lithophyllum lichenoides ;Asocijacija s vrstom Lithophyllum lichenoides 
G.2.4.2.2.;G.2.4.2.2. Asocijacija s vrstom Lithophyllum byssoides ;Asocijacija s vrstom Lithophyllum byssoides 
G.2.4.2.3.;G.2.4.2.3. Asocijacija s vrstom Tenarea undulosa ;Asocijacija s vrstom Tenarea undulosa 
G.2.4.2.4.;G.2.4.2.4. Asocijacija s vrstama rodova Ceramium i Corallina;Asocijacija s vrstama rodova Ceramium i Corallina
G.2.4.2.5.;G.2.4.2.5. Asocijacija s vrstom Enteromorpha compressa;Asocijacija s vrstom Enteromorpha compressa
G.2.4.2.6.;G.2.4.2.6. Asocijacija s vrstom Fucus virsoides;Asocijacija s vrstom Fucus virsoides
G.2.4.2.7.;G.2.4.2.7. Asocijacija s vrstom Gelidium spp.;Asocijacija s vrstom Gelidium spp.
G.2.4.2.8.;G.2.4.2.8. Lokvice i lagune s naseljima vermetida (enklava infralitorala);Lokvice i lagune s naseljima vermetida (enklava infralitorala)
G.2.4.3.;G.2.4.3. Biocenoza mediolitoralnih špilja;Biocenoza mediolitoralnih špilja
G.2.4.3.1.;G.2.4.3.1. Asocijacija s vrstama Phymatolithon lenormandii i Hildenbrandia rubra ;Asocijacija s vrstama Phymatolithon lenormandii i Hildenbrandia rubra 
G.2.4.4.;G.2.4.4. Zajednice mediolitorala kraških morskih jezera;Zajednice mediolitorala kraških morskih jezera
G.2.4.4.1.;G.2.4.4.1. Zajednica mediolitorala kraških morskih jezera;Zajednica mediolitorala kraških morskih jezera
G.2.5.;G.2.5. Antropogena staništa u mediolitoralu;Antropogena staništa u mediolitoralu
G.2.5.1.;G.2.5.1. Zajednice mediolitorala na pomičnoj podlozi pod utjecajem čovjeka (mulj, pijesak, šljunak);Zajednice mediolitorala na pomičnoj podlozi pod utjecajem čovjeka (mulj, pijesak, šljunak)
G.2.5.1.1.;G.2.5.1.1. Facijesi turističkih plaža i ljekovitih blata;Facijesi turističkih plaža i ljekovitih blata
G.2.5.2.;G.2.5.2. Zajednice mediolitorala na čvrstoj podlozi pod utjecajem čovjeka;Zajednice mediolitorala na čvrstoj podlozi pod utjecajem čovjeka
